Designator,Mid X,Mid Y,Layer,Rotation
AE2,172.847,-95.3846,top,180
C1,66.04,-79.375,top,45
C2,153.543,-66.294,top,90
C3,64.856992,-78.232,top,45
C4,172.72,-58.674,top,90
C5,166.878,-66.929,top,0
C6,171.069,-58.674,top,90
C7,163.068,-58.674,top,90
C8,169.418,-69.469,top,-90
C9,161.163,-58.674,top,90
C10,159.258,-58.674,top,90
C11,138.557,-87.376,top,-90
C12,104.775,-72.1295,top,180
C13,151.998,-99.453,top,-90
C14,179.578,-92.9716,top,-90
C15,114.935,-89.154,top,0
C16,179.832,-96.7816,top,180
C17,130.81,-77.47,top,-90
C18,177.292,-93.7336,top,180
C19,139.065,-73.025,top,180
C20,111.125,-94.869,top,-90
C21,110.617,-58.293,top,180
C22,130.291,-113.905,top,180
C23,96.52,-88.9,top,0
C24,96.52,-90.805,top,0
C25,96.52,-94.615,top,0
C26,96.52,-98.425,top,0
C27,96.52,-102.235,top,0
C28,96.52,-86.995,top,0
C29,96.52,-92.71,top,0
C30,96.52,-96.52,top,0
C31,96.52,-100.33,top,0
C32,96.52,-104.14,top,0
C33,136.281,-109.736,top,-90
C34,137.276,-113.27,top,180
C35,140.472,-113.165,top,-90
C36,174.773,-111.4196,top,-90
C37,107.442,-104.521,top,0
C38,109.474,-107.379,top,-90
D1,166.878,-63.754,top,90
D2,177.673,-89.027,top,90
D3,107.823,-96.139,top,0
D4,107.823,-93.599,top,0
D5,107.823,-91.059,top,0
FL1,176.784,-95.758,top,180
GRN1,67.359126,-83.439,top,45
J1,151.003,-65.024,top,0
J2,97.802562,-74.790439,top,-45
J3,72.910562,-71.107439,top,-45
J6,182.118,-68.839,top,180
J7,132.71,-73.66,top,90
J8,151.765,-107.569,top,180
J9,182.118,-105.8544,top,180
L1,179.832,-95.2576,top,180
L2,115.57,-93.599,top,180
L3,175.768,-97.1626,top,180
ORG1,158.623,-68.834,top,0
Q1,170.053,-62.484,top,-90
Q2,133.345,-77.47,top,-90
Q3,109.855,-88.519,top,180
Q4,119.126,-104.648,top,-90
Q5,122.936,-104.648,top,90
R1,67.31,-77.47,top,-45
R2,95.123,-72.644,top,180
R3,163.83,-63.754,top,180
R4,163.83,-65.659,top,180
R5,158.623,-70.739,top,0
R6,156.083,-69.469,top,-90
R7,153.543,-63.119,top,90
R8,175.768,-66.294,top,-90
R9,169.418,-58.674,top,-90
R10,179.451,-68.834,top,-90
R11,169.418,-66.294,top,90
R12,129.032,-88.519,top,-135
R13,165.608,-69.469,top,-90
R14,130.937,-90.424,top,-135
R15,74.803,-91.694,top,-90
R16,73.279,-91.313,top,-90
R17,167.513,-69.469,top,90
R18,172.593,-62.484,top,-90
R19,71.755,-88.9,top,-90
R20,142.113,-88.773,top,45
R21,140.97,-87.63,top,45
R22,71.755,-95.25,top,-90
R23,69.342,-80.899,top,-135
R24,68.199,-79.756,top,-135
R25,128.397,-78.232,top,180
R26,148.188,-99.453,top,-90
R27,149.712,-99.453,top,-90
R28,150.855,-96.405,top,-90
R29,153.014,-96.405,top,-90
R30,155.173,-99.453,top,-90
R31,156.697,-99.453,top,-90
R32,143.383,-111.633,top,0
R33,144.124,-107.454,top,-90
R34,177.292,-92.202,top,0
R35,112.395,-88.519,top,-90
R36,115.189,-62.103,top,0
R37,115.189,-60.579,top,0
R38,106.553,-89.154,top,0
R39,119.126,-101.155,top,90
R40,122.936,-100.838,top,90
R41,165.227,-106.426,top,0
R42,165.227,-107.95,top,0
R43,119.126,-107.823,top,180
R44,122.936,-107.823,top,0
R45,112.522,-107.379,top,90
R46,110.998,-107.379,top,90
R47,107.95,-107.379,top,90
R48,106.426,-107.379,top,-90
R49,75.819,-98.044,top,0
R50,71.755,-100.076,top,-90
R51,75.819,-101.219,top,0
R52,75.819,-104.394,top,0
R53,71.755,-104.648,top,90
RED1,65.913,-82.042,top,45
S1,67.31,-120.015,top,0
S2,67.31,-130.175,top,0
S3,67.31,-150.495,top,0
S4,77.47,-120.015,top,0
S5,77.47,-130.175,top,0
S6,77.47,-140.335,top,0
S7,87.63,-120.015,top,0
S8,87.63,-130.175,top,0
S9,87.63,-140.335,top,0
S10,97.79,-120.015,top,0
S11,97.79,-130.175,top,0
S12,97.79,-140.335,top,0
S13,107.95,-120.015,top,0
S14,107.95,-130.175,top,0
S15,107.95,-140.335,top,0
S16,118.11,-120.015,top,0
S17,118.11,-130.175,top,0
S18,118.11,-140.335,top,0
S19,128.27,-120.015,top,0
S20,128.27,-130.175,top,0
S21,128.27,-140.335,top,0
S22,138.43,-120.015,top,0
S23,138.43,-130.175,top,0
S24,138.43,-140.335,top,0
S25,148.59,-120.015,top,0
S26,148.59,-130.175,top,0
S27,107.95,-150.495,top,0
S28,158.75,-120.015,top,0
S29,158.75,-130.175,top,0
S30,158.75,-145.415,top,0
S31,168.91,-120.015,top,0
S32,168.91,-140.335,top,0
S33,168.91,-150.495,top,0
S34,179.07,-120.015,top,0
S35,179.07,-130.175,top,0
S36,179.07,-145.415,top,0
SW1,182.118,-112.141,top,90
TP38,118.11,-110.871,top,0
TP39,121.539,-109.601,top,0
TP40,145.796,-87.757,top,-135
TP41,144.272,-86.233,top,-135
TP42,133.985,-96.393,top,-135
TP43,135.509,-97.917,top,-135
TP44,137.033,-99.441,top,-135
TP45,149.352,-91.44,top,-135
TP46,147.955,-90.043,top,-135
U1,162.433,-69.469,top,0
U2,158.623,-65.024,top,-90
U3,80.01,-74.93,top,45
U4,174.752,-70.993,top,90
U5,172.593,-66.929,top,90
U6,166.243,-58.674,top,0
U7,115.542,-70.993,top,180
U8,66.895,-91.44,top,-90
U9,139.446,-94.615,top,-45
U18,177.927,-95.1306,top,0
U19,137.16,-64.77,top,90
U20,110.49,-61.087,top,90
U21,173.609,-103.8936,top,180
U22,133.736,-112.915,top,0
U23,90.17,-95.3,top,-90
U24,112.141,-102.743,top,0
U25,66.802,-102.235,top,-90
X1,89.662,-60.9665,top,-90